SYMBOL,ALIAS,year,LINK,title
MBD5,MBD5,2016,https://www.ncbi.nlm.nih.gov/pubmed/27786435,MBD5 Haploinsufficiency
SGSH,SGSH,2019,https://www.ncbi.nlm.nih.gov/pubmed/31536183,Mucopolysaccharidosis Type III
